6  5  4  1
loc-1
loc-2
loc-3
loc-4
loc-5
1   44 43 43 33 44
1   44 44 43 33 44
1   44 44 43 43 44
1   44 44  0 33 44
1   44 44 24 34 44
1   44 44  0 43 44
1   44 44 43 43 44
1   44 44  0 43 44
2   44 44 33 32 44
2   44 33 44 43 44
2   44 43 44 43 44
2   44 44 33 33 44
2   44 43 44 44 44
2   44 44 44 22 44
2   44 44 43 43 44
2   44 44 44 44 44
3   44 44 44 43 44
3   44 44 44 44 44
3   44 44 43 21 44
3   44 44 33 43 44
3   44 44 43 21 44
4   44 44 43 44 44
4   44 44 43 43 44
4   44 44 43 43 44
4   44 44 43 44 44
4   44 44 43 44 44
4   44 44 44 33 44
4   44 44 44 44 44
5   44 44 44 21 44
5   44 44 44 33 44
5   44 44 43 43 44
5   44 44 43 43 44
5   44 44 44 44 44
5   44 44 44 43 44
5   44 44 43 43 44
5   44 44 44  0 44
5   44 43 44 43 44
6   44 44 44 43 44
6   44 44 43 33 44
6   44 44 44 32 44
6   44 44 43 41 44
6   44 44 44 44 44
6   44 44 44 42 44
6   44 44 44 43 44
